# СВЕРКА КБЖУ — Фабрика Вкусно
"# Источник ""этикетка"": данные с этикеток вторых блюд (точные, на порцию) — 83 блюда, проверять не нужно."
"# Источник ""расчёт (bzhu)"": прочие блюда (салаты, супы, выпечка, бутерброды и т.п.) — ккал пересчитана по Б/Ж/У."
# Значения даны и на 100 г, и на порцию. Отсортировано по ккал/100г (сверху самые калорийные).
"# Пометка ""ПРОВЕРИТЬ"": ккал/100г >= 350 у блюд НЕ с этикетки — кандидаты на сверку с рецептурой."

Название;Источник;Вес порции г;Ккал/100г;Б/100г;Ж/100г;У/100г;Ккал порция;Б порция;Ж порция;У порция;Пометка
Рулет куриный с картофельным пюре;этикетка;250;133;6.1;8.0;9.0;332;15.3;19.9;22.6;
Салат «Свежий»;расчёт (bzhu);140;130;1.0;10.0;9.0;182;1.4;14;12.6;
Салат «Морковь острая»;расчёт (bzhu);140;130;2.0;10.0;8.0;182;2.8;14;11.2;
Салат «Витаминный»;расчёт (bzhu);140;130;1.0;10.0;9.0;182;1.4;14;12.6;
Отбивная куриная «Особенная» с картофельным пюре;этикетка;250;130;6.8;6.9;10.1;326;17.1;17.3;25.2;
Сосиски отварные с картофельным пюре;этикетка;250;129;4.5;8.1;9.4;323;11.3;20.3;23.6;
Салат «Крабовый»;расчёт (bzhu);140;127;3.0;7.0;13.0;178;4.2;9.8;18.2;
Филе куриное гриль с картофелем запечённым;этикетка;200;126;6.9;6.2;10.4;251;13.8;12.4;20.8;
Салат «Мясной»;расчёт (bzhu);140;125;6.0;9.0;5.0;175;8.4;12.6;7;
Биточек куриный с картофельным пюре;этикетка;225;123;5.8;6.0;11.3;277;13.1;13.5;25.4;
Шашлык куриный жареный во фритюре с картофельным пюре;этикетка;200;122;3.6;7.1;10.8;245;7.3;14.2;21.7;
Свинина под овощами с картофельным пюре;этикетка;250;122;4.9;5.9;12.4;306;12.3;14.7;30.9;
Печень «По-строгановски» с картофельным пюре;этикетка;250;118;8.5;5.3;9.0;296;21.3;13.3;22.6;
Каша кукурузная;расчёт (bzhu);200;117;3.0;1.0;24.0;234;6;2;48;
Салат № 2 с курицей и картофелем;расчёт (bzhu);140;115;8.0;7.0;5.0;161;11.2;9.8;7;
Котлета куриная «Гнездо» с картофельным пюре;этикетка;250;115;2.8;7.0;10.1;287;7;17.5;25.3;
Каша пшённая;расчёт (bzhu);200;111;3.0;3.0;18.0;222;6;6;36;
Гуляш из говядины с картофельным пюре;этикетка;250;110;7.3;5.1;8.6;276;18.3;12.8;21.6;
Филе куриное гриль с картофельным пюре;этикетка;200;108;6.4;4.8;9.4;215;12.8;9.7;18.9;
Каша геркулесовая;расчёт (bzhu);200;107;3.0;3.0;17.0;214;6;6;34;
Каша гречневая молочная;расчёт (bzhu);200;104;3.0;4.0;14.0;208;6;8;28;
Салат «Капуста маринованная острая»;расчёт (bzhu);140;103;2.0;7.0;8.0;144;2.8;9.8;11.2;
Салат «Винегрет овощной»;расчёт (bzhu);140;103;2.0;7.0;8.0;144;2.8;9.8;11.2;
Бигус;этикетка;250;100;4.4;7.0;4.7;250;11;17.5;11.8;
Бигус с картофельным пюре;этикетка;250;96;2.7;5.3;9.3;241;6.7;13.3;23.3;
Каша рисовая;расчёт (bzhu);200;95;2.0;3.0;15.0;190;4;6;30;
Суп «Куриный с лапшой»;расчёт (bzhu);250;92;4.0;4.0;10.0;230;10;10;25;
Каша ячневая;расчёт (bzhu);200;87;3.0;3.0;12.0;174;6;6;24;
Суп «Картофельный с мясными фрикадельками»;расчёт (bzhu);250;77;4.0;5.0;4.0;192;10;12.5;10;
Суп «Солянка домашняя»;расчёт (bzhu);250;68;4.0;4.0;4.0;170;10;10;10;
Суп «Лагман»;расчёт (bzhu);250;64;4.0;4.0;3.0;160;10;10;7.5;
Суп «Щи со свежей капустой и картофелем»;расчёт (bzhu);250;59;5.0;3.0;3.0;148;12.5;7.5;7.5;
Суп «Рассольник ленинградский»;расчёт (bzhu);250;58;4.0;2.0;6.0;145;10;5;15;
Суп «Борщ»;расчёт (bzhu);250;54;5.0;2.0;4.0;135;12.5;5;10;
